epoch,batch_idx,timestamp,learning_rate,gradient_norm,mask_info,batch_time,refinement_iterations,gradient_flow,microbatch_size,delta_imp_count_loss,delta_obs_count_loss,delta_imp_pval_loss,delta_obs_pval_loss,delta_imp_peak_loss,delta_obs_peak_loss,delta_imp_peak_auc,delta_obs_peak_auc,delta_imp_count_pcc,delta_obs_count_pcc,delta_imp_pval_pcc,delta_obs_pval_pcc
1,0,2025-12-16T22:11:22.607016,5e-05,6.502989768981934,A:1.0/L:1.0/C:0.0,2.4656243324279785,2,stop,1,0.09729492664337158,0.002097979187965393,0.6221995651721954,0.022793717682361603,0.0025472119450569153,0.00011060945689678192,-0.01696699451389161,-0.0009339660896373614,0.008495256304740906,-0.010586380958557129,-0.12951114773750305,-0.023468315601348877
1,1,2025-12-16T22:11:24.110873,5.000384615384616e-05,12.187356948852539,A:1.0/L:1.0/C:0.0,1.488201379776001,2,stop,1,-0.018082037568092346,-0.008208878338336945,-0.6779971420764923,-0.25733479112386703,0.00040145483217202127,4.093379538971931e-05,,,-0.040355831384658813,-0.03526940941810608,-0.04974213242530823,-0.034942835569381714
1,2,2025-12-16T22:11:25.540728,5.000769230769231e-05,,A:1.0/L:1.0/C:0.0,1.4182028770446777,2,stop,1,0.15241622924804688,0.012357786297798157,1.0338186472654343,0.06499769538640976,0.018099913373589516,0.0012685253750532866,-0.2015456928746996,-0.044915940774803986,-0.1958288848400116,-0.021364927291870117,-0.05419096350669861,-0.14193207025527954
1,3,2025-12-16T22:11:27.014138,5.0011538461538466e-05,13.4315767288208,A:1.0/L:1.0/C:0.0,1.461951494216919,2,stop,1,-0.00021398067474365234,0.011445075273513794,-0.14442738890647888,0.058429482858628035,-0.0033704806119203568,0.0005157382693141699,0.020825431225600766,-0.0008805408119716418,-0.001404106616973877,-0.038715243339538574,0.06827586889266968,-0.048375487327575684
1,4,2025-12-16T22:11:28.557386,5.001538461538462e-05,70.2773208618164,A:1.0/L:1.0/C:0.0,1.5235130786895752,2,stop,1,0.005361735820770264,0.0006457120180130005,-0.06743204593658447,-0.008554942905902863,-0.0012674331665039062,-0.0001409691758453846,0.03865866852698052,0.021884179388373393,0.018193572759628296,-0.0149441659450531,0.03177502751350403,0.000615239143371582
1,5,2025-12-16T22:11:30.150294,5.0019230769230775e-05,inf,A:1.0/L:1.0/C:0.0,1.5800986289978027,2,stop,1,0.09478786587715149,0.0027578026056289673,1.2014881819486618,0.0230276957154274,6.175041198730469e-05,8.106173481792212e-06,-0.03637848303729274,,-0.34936001896858215,-0.01588761806488037,-0.0394115149974823,-0.016844898462295532
1,6,2025-12-16T22:11:31.628633,5.002307692307693e-05,,A:1.0/L:1.0/C:0.0,1.4650661945343018,2,stop,1,0.17704927921295166,0.0015779882669448853,1.3456987738609314,0.0090227872133255,0.0018870776984840631,0.00016519392374902964,-0.166195856873823,-0.022937745151948352,-0.18330436944961548,-0.0008689165115356445,-0.2544019818305969,-0.02972877025604248
1,7,2025-12-16T22:11:33.046243,5.0026923076923084e-05,53.5440559387207,A:1.0/L:1.0/C:0.0,1.405639410018921,2,stop,1,0.00499136745929718,0.0003956705331802368,-0.005704343318939209,-0.005942575633525848,3.7143094232305884e-05,2.3714033886790276e-05,,-0.01792399095829844,-0.032683178782463074,0.013339787721633911,0.015149474143981934,0.009454905986785889
1,8,2025-12-16T22:11:34.623144,5.003076923076924e-05,9.28460693359375,A:1.0/L:1.0/C:0.0,1.5496385097503662,2,stop,1,-0.003801405429840088,0.00027340278029441833,0.06571981310844421,0.013526290655136108,7.901061326265335e-05,-7.302336598513648e-06,-0.16420481477342352,,0.028087198734283447,0.0007298588752746582,-0.0498468279838562,-0.04514580965042114
